index,card_id,card_name,card_number,set_id,set_name,card_market_value
211,base4-1,Alakazam,1,base4,Base Set 2,37.3
212,base4-2,Blastoise,2,base4,Base Set 2,108.24
213,base4-3,Chansey,3,base4,Base Set 2,15.42
214,base4-4,Charizard,4,base4,Base Set 2,322.28
215,base4-5,Clefable,5,base4,Base Set 2,14.5
216,base4-6,Clefairy,6,base4,Base Set 2,11.41
217,base4-7,Gyarados,7,base4,Base Set 2,27.8
218,base4-8,Hitmonchan,8,base4,Base Set 2,21.15
219,base4-9,Magneton,9,base4,Base Set 2,12.55
221,base4-10,Mewtwo,10,base4,Base Set 2,42.85
222,base4-11,Nidoking,11,base4,Base Set 2,24.99
223,base4-12,Nidoqueen,12,base4,Base Set 2,22.79
224,base4-13,Ninetales,13,base4,Base Set 2,22.29
225,base4-14,Pidgeot,14,base4,Base Set 2,27.58
226,base4-15,Poliwrath,15,base4,Base Set 2,13.42
227,base4-16,Raichu,16,base4,Base Set 2,33.93
228,base4-17,Scyther,17,base4,Base Set 2,25.34
229,base4-18,Venusaur,18,base4,Base Set 2,73.77
231,base4-19,Wigglytuff,19,base4,Base Set 2,12.03
232,base4-20,Zapdos,20,base4,Base Set 2,24.33
233,base4-21,Beedrill,21,base4,Base Set 2,2.07
234,base4-22,Dragonair,22,base4,Base Set 2,9.05
235,base4-23,Dugtrio,23,base4,Base Set 2,3.48
236,base4-24,Electabuzz,24,base4,Base Set 2,3.22
237,base4-25,Electrode,25,base4,Base Set 2,3.83
238,base4-26,Kangaskhan,26,base4,Base Set 2,3.29
239,base4-27,Mr. Mime,27,base4,Base Set 2,6.01
241,base4-28,Pidgeotto,28,base4,Base Set 2,3.84
242,base4-29,Pinsir,29,base4,Base Set 2,3.76
243,base4-30,Snorlax,30,base4,Base Set 2,9.2
244,base4-31,Venomoth,31,base4,Base Set 2,3.35
245,base4-32,Victreebel,32,base4,Base Set 2,2.75
246,base4-33,Arcanine,33,base4,Base Set 2,1.83
247,base4-34,Butterfree,34,base4,Base Set 2,1.54
248,base4-35,Charmeleon,35,base4,Base Set 2,1.53
249,base4-36,Dewgong,36,base4,Base Set 2,1.21
251,base4-37,Dodrio,37,base4,Base Set 2,1.68
252,base4-38,Dratini,38,base4,Base Set 2,0.76
253,base4-39,Exeggutor,39,base4,Base Set 2,1.2
254,base4-40,Farfetch'd,40,base4,Base Set 2,0.52
255,base4-41,Fearow,41,base4,Base Set 2,1.33
256,base4-42,Growlithe,42,base4,Base Set 2,1.22
257,base4-43,Haunter,43,base4,Base Set 2,0.89
258,base4-44,Ivysaur,44,base4,Base Set 2,3.47
259,base4-45,Jynx,45,base4,Base Set 2,0.65
261,base4-46,Kadabra,46,base4,Base Set 2,1.22
262,base4-47,Kakuna,47,base4,Base Set 2,0.72
263,base4-48,Lickitung,48,base4,Base Set 2,1.5
264,base4-49,Machoke,49,base4,Base Set 2,0.67
265,base4-50,Magikarp,50,base4,Base Set 2,1.05
266,base4-51,Magmar,51,base4,Base Set 2,1.2
267,base4-52,Marowak,52,base4,Base Set 2,1.79
268,base4-53,Nidorina,53,base4,Base Set 2,0.64
269,base4-54,Nidorino,54,base4,Base Set 2,1.75
271,base4-55,Parasect,55,base4,Base Set 2,1.02
272,base4-56,Persian,56,base4,Base Set 2,1.8
273,base4-57,Poliwhirl,57,base4,Base Set 2,0.95
274,base4-58,Raticate,58,base4,Base Set 2,0.94
275,base4-59,Rhydon,59,base4,Base Set 2,1.93
276,base4-60,Seaking,60,base4,Base Set 2,0.69
277,base4-61,Seel,61,base4,Base Set 2,0.61
278,base4-62,Tauros,62,base4,Base Set 2,2.85
279,base4-63,Wartortle,63,base4,Base Set 2,1.73
281,base4-64,Weepinbell,64,base4,Base Set 2,1.15
282,base4-65,Abra,65,base4,Base Set 2,0.43
283,base4-66,Bellsprout,66,base4,Base Set 2,0.43
284,base4-67,Bulbasaur,67,base4,Base Set 2,2.31
285,base4-68,Caterpie,68,base4,Base Set 2,0.58
286,base4-69,Charmander,69,base4,Base Set 2,1.19
287,base4-70,Cubone,70,base4,Base Set 2,1.0
288,base4-71,Diglett,71,base4,Base Set 2,0.42
289,base4-72,Doduo,72,base4,Base Set 2,0.4
291,base4-73,Drowzee,73,base4,Base Set 2,0.46
292,base4-74,Exeggcute,74,base4,Base Set 2,0.49
293,base4-75,Gastly,75,base4,Base Set 2,0.43
294,base4-76,Goldeen,76,base4,Base Set 2,0.41
295,base4-77,Jigglypuff,77,base4,Base Set 2,0.84
296,base4-78,Machop,78,base4,Base Set 2,0.37
297,base4-79,Magnemite,79,base4,Base Set 2,0.38
298,base4-80,Meowth,80,base4,Base Set 2,0.59
299,base4-81,Metapod,81,base4,Base Set 2,0.38
2101,base4-82,Nidoran ♀,82,base4,Base Set 2,0.43
2102,base4-83,Nidoran ♂,83,base4,Base Set 2,0.61
2103,base4-84,Onix,84,base4,Base Set 2,0.79
2104,base4-85,Paras,85,base4,Base Set 2,0.38
2105,base4-86,Pidgey,86,base4,Base Set 2,0.71
2106,base4-87,Pikachu,87,base4,Base Set 2,2.26
2107,base4-88,Poliwag,88,base4,Base Set 2,0.39
2108,base4-89,Rattata,89,base4,Base Set 2,0.45
2109,base4-90,Rhyhorn,90,base4,Base Set 2,0.54
2111,base4-91,Sandshrew,91,base4,Base Set 2,0.43
2112,base4-92,Spearow,92,base4,Base Set 2,0.42
2113,base4-93,Squirtle,93,base4,Base Set 2,1.08
2114,base4-94,Starmie,94,base4,Base Set 2,0.48
2115,base4-95,Staryu,95,base4,Base Set 2,0.26
2116,base4-96,Tangela,96,base4,Base Set 2,0.37
2117,base4-97,Venonat,97,base4,Base Set 2,0.62
2118,base4-98,Voltorb,98,base4,Base Set 2,0.53
2119,base4-99,Vulpix,99,base4,Base Set 2,0.81
2121,base4-100,Weedle,100,base4,Base Set 2,0.32
2122,base4-101,Computer Search,101,base4,Base Set 2,2.74
2123,base4-102,Imposter Professor Oak,102,base4,Base Set 2,2.29
2124,base4-103,Item Finder,103,base4,Base Set 2,7.51
2125,base4-104,Lass,104,base4,Base Set 2,2.72
2126,base4-105,Pokémon Breeder,105,base4,Base Set 2,4.4
2127,base4-106,Pokémon Trader,106,base4,Base Set 2,3.25
2128,base4-107,Scoop Up,107,base4,Base Set 2,4.54
2129,base4-108,Super Energy Removal,108,base4,Base Set 2,2.72
2131,base4-109,Defender,109,base4,Base Set 2,0.34
2132,base4-110,Energy Retrieval,110,base4,Base Set 2,0.32
2133,base4-111,Full Heal,111,base4,Base Set 2,0.39
2134,base4-112,Maintenance,112,base4,Base Set 2,0.74
2135,base4-113,PlusPower,113,base4,Base Set 2,0.39
2136,base4-114,Pokémon Center,114,base4,Base Set 2,0.81
2137,base4-115,Pokédex,115,base4,Base Set 2,0.45
2138,base4-116,Professor Oak,116,base4,Base Set 2,1.35
2139,base4-117,Super Potion,117,base4,Base Set 2,0.26
2141,base4-118,Bill,118,base4,Base Set 2,0.32
2142,base4-119,Energy Removal,119,base4,Base Set 2,0.28
2143,base4-120,Gust of Wind,120,base4,Base Set 2,0.28
2144,base4-121,Poké Ball,121,base4,Base Set 2,0.31
2145,base4-122,Potion,122,base4,Base Set 2,0.22
2146,base4-123,Switch,123,base4,Base Set 2,0.34
2147,base4-124,Double Colorless Energy,124,base4,Base Set 2,2.0
2148,base4-125,Fighting Energy,125,base4,Base Set 2,0.27
2149,base4-126,Fire Energy,126,base4,Base Set 2,0.65
2151,base4-127,Grass Energy,127,base4,Base Set 2,0.24
2152,base4-128,Lightning Energy,128,base4,Base Set 2,0.35
2153,base4-129,Psychic Energy,129,base4,Base Set 2,0.29
2154,base4-130,Water Energy,130,base4,Base Set 2,0.25
2155,base4-4,Charizard,4,base4,Base Set 2,322.28
2156,base4-2,Blastoise,2,base4,Base Set 2,108.24
2157,base4-18,Venusaur,18,base4,Base Set 2,73.77
2158,base4-10,Mewtwo,10,base4,Base Set 2,42.85
2159,base4-20,Zapdos,20,base4,Base Set 2,24.33
2161,base4-16,Raichu,16,base4,Base Set 2,33.93
2162,base4-17,Scyther,17,base4,Base Set 2,25.34
2163,base4-19,Wigglytuff,19,base4,Base Set 2,12.03
2164,base4-14,Pidgeot,14,base4,Base Set 2,27.58
2165,base4-12,Nidoqueen,12,base4,Base Set 2,22.79
2166,base4-11,Nidoking,11,base4,Base Set 2,24.99
2167,base4-1,Alakazam,1,base4,Base Set 2,37.3
2168,base4-7,Gyarados,7,base4,Base Set 2,27.8
2169,base4-3,Chansey,3,base4,Base Set 2,15.42
2171,base4-5,Clefable,5,base4,Base Set 2,14.5
2172,base4-87,Pikachu,87,base4,Base Set 2,2.26
2173,base4-67,Bulbasaur,67,base4,Base Set 2,2.31
2174,base4-69,Charmander,69,base4,Base Set 2,1.19
2175,base4-93,Squirtle,93,base4,Base Set 2,1.08
2176,base4-86,Pidgey,86,base4,Base Set 2,0.71
2177,base4-89,Rattata,89,base4,Base Set 2,0.45
2178,base4-6,Clefairy,6,base4,Base Set 2,11.41
2179,base4-50,Magikarp,50,base4,Base Set 2,1.05
2181,base4-65,Abra,65,base4,Base Set 2,0.43
2182,base4-78,Machop,78,base4,Base Set 2,0.37
2183,base4-79,Magnemite,79,base4,Base Set 2,0.38
2184,base4-75,Gastly,75,base4,Base Set 2,0.43
2185,base4-99,Vulpix,99,base4,Base Set 2,0.81
2186,base4-60,Ponyta,60,base4,Base Set 2,0.69
2187,base4-100,Weedle,100,base4,Base Set 2,0.32
2188,base4-68,Caterpie,68,base4,Base Set 2,0.58
2189,base4-88,Poliwag,88,base4,Base Set 2,0.39
2191,base4-57,Poliwhirl,57,base4,Base Set 2,0.95
2192,base4-44,Ivysaur,44,base4,Base Set 2,3.47
2193,base4-63,Wartortle,63,base4,Base Set 2,1.73
2194,base4-35,Charmeleon,35,base4,Base Set 2,1.53
2195,base4-46,Kadabra,46,base4,Base Set 2,1.22
2196,base4-49,Machoke,49,base4,Base Set 2,0.67
2197,base4-47,Kakuna,47,base4,Base Set 2,0.72
2198,base4-81,Metapod,81,base4,Base Set 2,0.38
2199,base4-22,Dragonair,22,base4,Base Set 2,9.05
2201,base4-38,Dratini,38,base4,Base Set 2,0.76
